PlatformID,DateTimeNZST,Load
CAW-2022017-IOT,13/06/2022 08:06:57:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:58:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:06:59:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:00:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:01:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:02:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:03:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:04:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:05:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:06:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:07:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:08:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:09:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:10:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:11:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:12:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:13:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:14:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:15:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:16:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:17:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:18:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:19:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:20:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:21:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:22:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:23:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:24:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:25:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:26:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:27:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:28:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:29:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:30:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:31:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:32:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:33:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:34:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:35:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:36:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:37:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:38:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:39:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:40:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:41:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:42:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:43:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:44:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:45:003,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:46:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:47:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:48:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:49:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:50:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:51:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:52:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:53:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:54:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:55:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:56:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:57:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:58:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:07:59:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:00:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:01:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:02:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:03:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:04:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:05:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:06:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:07:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:08:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:09:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:10:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:11:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:12:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:13:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:14:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:15:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:16:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:17:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:18:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:19:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:20:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:21:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:22:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:23:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:24:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:25:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:26:004,-000000.00
